Instrument,Action,Type,Quantity,Limit,Stop,State,Filled,Avg. price,Remaining,Name,Strategy,OCO,Time,Cancel,
MNQ MAR24,Buy to cover,Limit,1,16979.75,16979.75,Cancelled,0,0,1,K.Chan Offset 2 B,BlackBird,ba42fc9c-a86d-47b2-b4aa-f6ea3b927475189534207,12/22/2023 12:25:59 PM,,
MNQ MAR24,Buy to cover,Limit,1,16980.25,16980.25,Cancelled,0,0,1,K.Chan Offset 1 A,BlackBird,a8b3704e-d1d4-4609-b145-0b3acbabc5e61936252310,12/22/2023 12:25:59 PM,,
MNQ MAR24,Buy to cover,Limit,1,16979.25,16979.25,Cancelled,0,0,1,K.Chan Offset 3 C,BlackBird,28c6cce1-ac17-40ec-9a31-c5f6d9ac1b32817851602,12/22/2023 12:25:59 PM,,
MNQ MAR24,Buy to cover,Stop Market,1,16981.75,16981.75,Filled,1,16982,0,Stop Loss Keltner channel B,BlackBird,ba42fc9c-a86d-47b2-b4aa-f6ea3b927475189534207,12/22/2023 12:25:59 PM,,
MNQ MAR24,Buy to cover,Stop Market,1,16981.75,16981.75,Filled,1,16982,0,Stop Loss Keltner channel A,BlackBird,a8b3704e-d1d4-4609-b145-0b3acbabc5e61936252310,12/22/2023 12:25:59 PM,,
MNQ MAR24,Buy to cover,Stop Market,1,16981.75,16981.75,Filled,1,16982,0,Stop Loss Keltner channel C,BlackBird,28c6cce1-ac17-40ec-9a31-c5f6d9ac1b32817851602,12/22/2023 12:25:59 PM,,
MNQ MAR24,Sell short,Market,1,16981.00,16981.00,Filled,1,16981,0,Sell Market Entry C,BlackBird,,12/22/2023 12:25:58 PM,,
MNQ MAR24,Sell short,Market,1,16981.00,16981.00,Filled,1,16980.75,0,Sell Market Entry B,BlackBird,,12/22/2023 12:25:58 PM,,
MNQ MAR24,Sell short,Market,1,16981.00,16981.00,Filled,1,16980.75,0,Sell Market Entry A,BlackBird,,12/22/2023 12:25:58 PM,,
MNQ MAR24,Buy to cover,Stop Market,1,16990.25,16990.25,Cancelled,0,0,1,Stop Loss Keltner channel C,BlackBird,b082e7a1-dbb9-44b9-a906-2d140db75b11109567889,12/22/2023 12:09:10 PM,,
MNQ MAR24,Buy to cover,Limit,1,16989.75,16989.75,Filled,1,16989.75,0,K.Chan Offset 3 C,BlackBird,b082e7a1-dbb9-44b9-a906-2d140db75b11109567889,12/22/2023 12:09:10 PM,,
MNQ MAR24,Buy to cover,Stop Market,1,16991.75,16991.75,Cancelled,0,0,1,Stop Loss Keltner channel B,BlackBird,ad4e1511-d685-4436-87f8-bd9b42857d0d1007324851,12/22/2023 12:09:09 PM,,
MNQ MAR24,Buy to cover,Limit,1,16990.25,16990.25,Filled,1,16990.25,0,K.Chan Offset 2 B,BlackBird,ad4e1511-d685-4436-87f8-bd9b42857d0d1007324851,12/22/2023 12:09:09 PM,,
MNQ MAR24,Buy to cover,Stop Market,1,16992.00,16992.00,Cancelled,0,0,1,Stop Loss Keltner channel A,BlackBird,5211a1f9-e7c7-4837-bfd2-93ee6725459153517366,12/22/2023 12:09:09 PM,,
MNQ MAR24,Buy to cover,Limit,1,16990.50,16990.50,Filled,1,16990.5,0,K.Chan Offset 1 A,BlackBird,5211a1f9-e7c7-4837-bfd2-93ee6725459153517366,12/22/2023 12:09:09 PM,,
MNQ MAR24,Sell short,Market,1,16991.50,16991.50,Filled,1,16991.25,0,Sell Market Entry C,BlackBird,,12/22/2023 12:09:09 PM,,
MNQ MAR24,Sell short,Market,1,16991.50,16991.50,Filled,1,16991.25,0,Sell Market Entry B,BlackBird,,12/22/2023 12:09:08 PM,,
MNQ MAR24,Sell short,Market,1,16991.50,16991.50,Filled,1,16991.25,0,Sell Market Entry A,BlackBird,,12/22/2023 12:09:08 PM,,
MNQ MAR24,Buy to cover,Limit,1,16988.25,16988.25,Cancelled,0,0,1,K.Chan Offset 3 C,BlackBird,c75ea9f4-4560-4343-8ef7-30a117f7e4dc2078079049,12/22/2023 12:08:26 PM,,
MNQ MAR24,Buy to cover,Stop Market,1,16989.75,16989.75,Filled,1,16989.75,0,Stop Loss Keltner channel C,BlackBird,c75ea9f4-4560-4343-8ef7-30a117f7e4dc2078079049,12/22/2023 12:08:26 PM,,
MNQ MAR24,Buy to cover,Stop Market,1,16989.75,16989.75,Cancelled,0,0,1,Stop Loss Keltner channel B,BlackBird,52335914-d99c-48a7-9a68-80274216cf6b1732090884,12/22/2023 12:08:24 PM,,
MNQ MAR24,Buy to cover,Limit,1,16988.50,16988.50,Filled,1,16988.5,0,K.Chan Offset 2 B,BlackBird,52335914-d99c-48a7-9a68-80274216cf6b1732090884,12/22/2023 12:08:24 PM,,
MNQ MAR24,Buy to cover,Stop Market,1,16990.00,16990.00,Cancelled,0,0,1,Stop Loss Keltner channel A,BlackBird,1e3cbdcc-b096-49b9-9404-897fce313e5e251252588,12/22/2023 12:08:23 PM,,
MNQ MAR24,Buy to cover,Limit,1,16989.00,16989.00,Filled,1,16989,0,K.Chan Offset 1 A,BlackBird,1e3cbdcc-b096-49b9-9404-897fce313e5e251252588,12/22/2023 12:08:23 PM,,
MNQ MAR24,Sell short,Market,1,16990.00,16990.00,Filled,1,16989.5,0,Sell Market Entry C,BlackBird,,12/22/2023 12:08:18 PM,,
MNQ MAR24,Sell short,Market,1,16990.00,16990.00,Filled,1,16989.5,0,Sell Market Entry B,BlackBird,,12/22/2023 12:08:18 PM,,
MNQ MAR24,Sell short,Market,1,16990.00,16990.00,Filled,1,16989.5,0,Sell Market Entry A,BlackBird,,12/22/2023 12:08:18 PM,,
MNQ MAR24,Sell,Limit,1,16994.25,16994.25,Cancelled,0,0,1,K.Chan Offset 3 C,BlackBird,92515752-a0a3-4a67-983e-a4c6b0ee5bc71266508332,12/22/2023 12:01:56 PM,,
MNQ MAR24,Sell,Stop Market,1,16993.00,16993.00,Filled,1,16992.5,0,Stop Loss Keltner channel C,BlackBird,92515752-a0a3-4a67-983e-a4c6b0ee5bc71266508332,12/22/2023 12:01:56 PM,,
MNQ MAR24,Sell,Stop Market,1,16993.00,16993.00,Cancelled,0,0,1,Stop Loss Keltner channel B,BlackBird,727e7ca5-a51e-4074-bf8b-c48534b1a5bd1370303068,12/22/2023 12:01:54 PM,,
MNQ MAR24,Sell,Limit,1,16994.00,16994.00,Filled,1,16994,0,K.Chan Offset 2 B,BlackBird,727e7ca5-a51e-4074-bf8b-c48534b1a5bd1370303068,12/22/2023 12:01:54 PM,,
MNQ MAR24,Sell,Stop Market,1,16992.50,16992.50,Cancelled,0,0,1,Stop Loss Keltner channel A,BlackBird,ba75bcfb-3f69-41bb-832f-d78cf3dc52972144494548,12/22/2023 12:01:54 PM,,
MNQ MAR24,Sell,Limit,1,16993.50,16993.50,Filled,1,16993.5,0,K.Chan Offset 1 A,BlackBird,ba75bcfb-3f69-41bb-832f-d78cf3dc52972144494548,12/22/2023 12:01:54 PM,,
MNQ MAR24,Buy,Market,1,16992.50,16992.50,Filled,1,16993,0,Buy Market Entry C,BlackBird,,12/22/2023 12:01:51 PM,,
MNQ MAR24,Buy,Market,1,16992.50,16992.50,Filled,1,16993,0,Buy Market Entry B,BlackBird,,12/22/2023 12:01:51 PM,,
MNQ MAR24,Buy,Market,1,16992.50,16992.50,Filled,1,16993,0,Buy Market Entry A,BlackBird,,12/22/2023 12:01:51 PM,,
MNQ MAR24,Buy to cover,Limit,1,16988.75,16988.75,Cancelled,0,0,1,K.Chan Offset 3 C,BlackBird,1ce997f1-44d7-4973-b516-4dadba7d27051846765044,12/22/2023 11:47:08 AM,,
